SofwareRepairServiceID,Software Type,Software Version
8001,Norton Antivirus,2023
8002,Windows 10,Windows 10 Pro
8003,McAfee Antivirus,2022
8004,AVG Antivirus,2023
8005,Photoshop,Photoshop 2022
8006,Slack,2023.04
8007,Bitdefender Antivirus,2022
8008,NVIDIA Driver,472.12
8009,Zoom,Zoom 5.11
8010,Microsoft Office,Office 2021
8011,AutoCAD,AutoCAD 2023
8012,Windows Defender,2023
8013,League of Legends,2023.01
8014,macOS,macOS 13
8015,Recuva,Recuva 2023
8016,Outlook,Outlook 2023
8017,Ubuntu,Ubuntu 20.04
8018,SQL Server,SQL Server 2022
8019,Python,Python 3.10
8020,Google Chrome,Chrome 94.0
8021,Firefox,Firefox 93
8022,Bitdefender Total Security,2023
8023,Microsoft Office 365,365.23
8024,Spybot Search & Destroy,Spybot 2023
8025,CorelDRAW,CorelDRAW 2023
8026,Evernote,Evernote 10.2
8027,Adobe Premiere Pro,Premiere Pro 2023
8028,VMware Workstation,VMware Workstation 16
8029,Wireshark,Wireshark 4.0
8030,Spotify,Spotify 2023.08
4003,Windows Software,Add Specific Version
4008,Smartphone Software Update,Add Specific Version
4009,Optimize Dell Utility Software,Latest Revi TCUX Best!
4013,Add Software Details,Add Specific Version
4020,Resolve Smartphone Sync Error,Check with Team
4021,Google Drive Error Issue,Update After Team
4023,Antivirus Full Repair,Perform Required Action
4027,Windows Software Issues,Pending Updates
4028,Specific Software Issue,Track Customer
4030,Verify on Meeting Issue,Update Specific Details
4032,Laptop BIOS Issue,Latest Version Fix
