SecurityServiceID,SecurityApp,SecurityPackageType
3001,FireWallPlus,Standard
3002,SecureGuard,Premium
3003,SafeTrack,Standard
3004,EndpointPro,Advanced
3005,CloudSecure,Standard
3006,NetGuard,Premium
3007,IntruderAlert,Advanced
3008,SecureVPN,Standard
3009,EncryptNow,Premium
3010,ThreatGuard,Advanced
3011,MobileShield,Standard
3012,AuditSafe,Premium
3013,FireAlert,Standard
3014,AccessLock,Advanced
3015,SurveilPro,Premium
3016,IDGuard,Standard
3017,SecureConsult,Advanced
3018,WiFiGuard,Standard
3019,PhishDefender,Premium
3020,PenTestPro,Advanced
3021,CloudProtect,Standard
3022,ComplySecure,Premium
3023,ZeroTrustShield,Advanced
3024,PatchSafe,Standard
3025,CloudThreat,Premium
3026,MalwareX,Advanced
3027,DeviceShield,Standard
3028,EndPointX,Premium
3029,DataDefender,Advanced
3030,IncidentRescue,Standard
