HardwareRepairServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,Duration,DeviceName,DeviceType,DeviceModel,RepairType,Component,ProductionYear
7001,Hard Drive Repair,1/10/2023,1/15/2023,150,Completed,Istanbul,Marmara,Turkey,Repair,5,Seagate Barracuda 1TB,Hard Drive,ST1000DM008,Hardware,Hard Drive,2019
7002,Keyboard Replacement,2/5/2023,2/10/2023,50,Completed,Ankara,Ankara,Turkey,Repair,5,Logitech K120,Keyboard,Logitech K120,Hardware,Keyboard,2020
7003,Graphics Card Repair,3/1/2023,3/5/2023,200,Completed,Izmir,Izmir,Turkey,Repair,4,NVIDIA GTX 1660,Graphics Card,NVIDIA GTX 1660,Hardware,Graphics Card,2021
7004,Power Supply Repair,4/1/2023,4/10/2023,120,Completed,Antalya,Antalya,Turkey,Repair,9,EVGA 600W,Power Supply,EVGA 600W,Hardware,Power Supply,2018
7005,Laptop Screen Replacement,5/1/2023,5/10/2023,180,Completed,Bursa,Bursa,Turkey,Repair,9,"Acer 15.6"" IPS",Laptop,ACER-X15-IPS,Hardware,Laptop Screen,2022
7006,Processor Repair,6/10/2023,6/20/2023,250,Completed,Konya,Konya,Turkey,Repair,10,Intel Core i7-9700K,Processor,Intel i7-9700K,Hardware,Processor,2021
7007,Hard Drive Repair,7/1/2023,7/10/2023,140,Completed,Istanbul,Marmara,Turkey,Repair,9,Western Digital Blue 500GB,Hard Drive,WD5000AAKX,Hardware,Hard Drive,2020
7008,RAM Replacement,8/5/2023,8/12/2023,100,Completed,Izmir,Izmir,Turkey,Repair,7,Corsair Vengeance 8GB,RAM,Corsair Vengeance LPX,Hardware,RAM,2022
7009,Graphics Card Replacement,9/1/2023,9/5/2023,250,Completed,Ankara,Ankara,Turkey,Repair,4,AMD Radeon RX 580,Graphics Card,AMD RX 580,Hardware,Graphics Card,2021
7010,CPU Fan Repair,10/1/2023,10/5/2023,75,Completed,Antalya,Antalya,Turkey,Repair,4,Noctua NH-D15,CPU Cooler,Noctua NH-D15,Hardware,CPU Fan,2020
7011,Hard Drive Repair,11/1/2023,11/7/2023,130,Completed,Bursa,Bursa,Turkey,Repair,6,Seagate Barracuda 2TB,Hard Drive,ST2000DM008,Hardware,Hard Drive,2018
7012,SSD Replacement,12/1/2023,12/5/2023,180,Completed,Konya,Konya,Turkey,Repair,4,Samsung 970 EVO 1TB,SSD,Samsung 970 EVO,Hardware,SSD,2022
7013,Monitor Repair,1/15/2023,1/25/2023,220,Completed,Istanbul,Marmara,Turkey,Repair,10,LG 27UK850-W,Monitor,LG 27UK850-W,Hardware,Monitor,2020
7014,Laptop Motherboard Repair,2/1/2023,2/10/2023,300,Completed,Izmir,Izmir,Turkey,Repair,9,Dell XPS 15,Laptop,Dell XPS 15,Hardware,Laptop Motherboard,2019
7015,Hard Drive Repair,3/10/2023,3/20/2023,150,Completed,Antalya,Antalya,Turkey,Repair,10,Toshiba 1TB,Hard Drive,Toshiba DT01ACA100,Hardware,Hard Drive,2020
7016,Power Supply Replacement,4/15/2023,4/20/2023,110,Completed,Bursa,Bursa,Turkey,Repair,5,Corsair RM750,Power Supply,Corsair RM750,Hardware,Power Supply,2021
7017,CPU Repair,5/10/2023,5/15/2023,220,Completed,Konya,Konya,Turkey,Repair,5,AMD Ryzen 7 3700X,Processor,AMD Ryzen 7 3700X,Hardware,CPU,2022
7018,Graphics Card Repair,6/1/2023,6/10/2023,250,Completed,Istanbul,Marmara,Turkey,Repair,9,MSI GeForce RTX 3060,Graphics Card,MSI RTX 3060,Hardware,Graphics Card,2021
7019,Keyboard Repair,7/5/2023,7/15/2023,60,Completed,Izmir,Izmir,Turkey,Repair,10,Logitech G Pro X,Keyboard,Logitech G Pro X,Hardware,Keyboard,2022
7020,Monitor Replacement,8/1/2023,8/10/2023,220,Completed,Ankara,Ankara,Turkey,Repair,9,ASUS TUF Gaming VG27WQ,Monitor,ASUS VG27WQ,Hardware,Monitor,2020
7021,SSD Repair,9/10/2023,9/15/2023,180,Completed,Antalya,Antalya,Turkey,Repair,5,Kingston A2000 1TB,SSD,Kingston A2000,Hardware,SSD,2019
7022,Laptop Battery Replacement,10/5/2023,10/15/2023,80,Completed,Bursa,Bursa,Turkey,Repair,10,HP Envy 13,Laptop,HP Envy 13,Hardware,Laptop Battery,2021
7023,Hard Drive Repair,11/1/2023,11/10/2023,140,Completed,Konya,Konya,Turkey,Repair,9,Western Digital Black 500GB,Hard Drive,WD5000BPKX,Hardware,Hard Drive,2022
7024,SSD Repair,12/10/2023,12/20/2023,170,Completed,Istanbul,Marmara,Turkey,Repair,10,Crucial P5 1TB,SSD,Crucial P5,Hardware,SSD,2019
7025,Laptop Motherboard Repair,1/20/2023,1/30/2023,280,Completed,Izmir,Izmir,Turkey,Repair,10,Acer Aspire 5,Laptop,Acer Aspire 5,Hardware,Laptop Motherboard,2020
7026,Graphics Card Repair,2/15/2023,2/25/2023,250,Completed,Antalya,Antalya,Turkey,Repair,10,EVGA RTX 3070,Graphics Card,EVGA RTX 3070,Hardware,Graphics Card,2021
7027,CPU Cooling Fan Repair,3/5/2023,3/15/2023,95,Completed,Bursa,Bursa,Turkey,Repair,10,Noctua NH-U12S,CPU Cooler,Noctua NH-U12S,Hardware,CPU Cooling Fan,2022
7028,SSD Replacement,4/1/2023,4/10/2023,180,Completed,Konya,Konya,Turkey,Repair,9,Samsung 860 EVO 500GB,SSD,Samsung 860 EVO,Hardware,SSD,2020
7029,Laptop Display Replacement,5/15/2023,5/25/2023,200,Completed,Istanbul,Marmara,Turkey,Repair,10,"MacBook Pro 13""",Laptop,MacBook Pro 13,Hardware,Laptop Display,2022
7030,Hard Drive Repair,6/5/2023,6/15/2023,150,Completed,Izmir,Izmir,Turkey,Repair,10,Hitachi Deskstar 1TB,Hard Drive,Hitachi Deskstar,Hardware,Hard Drive,2020
4001,Phone Screen Repair,1/1/2023,1/3/2023,150,Completed,Istanbul,Marmara,Turkey,Repair,2,iPhone,Smartphone,iPhone 12,Hardware,Phone Screen,2021
4002,Laptop Hard Drive Replacement,2/1/2023,2/3/2023,250,Completed,Izmir,Izmir,Turkey,Repair,2,MacBook,Laptop,MacBook Air,Hardware,Laptop Hard Drive,2022
4004,Phone Battery Replacement,4/1/2023,4/3/2023,120,Completed,Istanbul,Marmara,Turkey,Repair,2,Galaxy,Smartphone,Samsung Galaxy S20,Hardware,Phone Battery,2020
4005,PC RAM Upgrade,5/1/2023,5/3/2023,200,Completed,Izmir,Izmir,Turkey,Repair,2,HP,Laptop,HP Pavilion,Hardware,PC RAM,2021
4006,Tablet Screen Repair,6/1/2023,6/4/2023,180,Completed,Ankara,Ankara,Turkey,Repair,3,Galaxy,Tablet,Samsung Tab S7,Hardware,Tablet Screen,2022
4007,MacBook Key Replacement,7/1/2023,7/2/2023,100,Completed,Istanbul,Marmara,Turkey,Repair,1,MacBook,Laptop,MacBook Pro 13,Hardware,MacBook Key,2021
4010,Laptop Battery Replacement,10/1/2023,10/3/2023,140,Completed,Istanbul,Marmara,Turkey,Repair,2,HP,Laptop,HP Envy,Hardware,Laptop Battery,2022
4011,Smartwatch Screen Repair,11/1/2023,11/2/2023,100,Completed,Izmir,Izmir,Turkey,Repair,1,Apple Watch,Smartwatch,Apple Watch Series 6,Hardware,Smartwatch Screen,2021
