SofwareRepairServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,Duration,DeviceName,DeviceType,DeviceModel,RepairType,Software Type,Software Version
8001,Antivirus Repair,1/10/2023,1/15/2023,100,Completed,Istanbul,Marmara,Turkey,Repair,5,Norton Antivirus,Software,Norton Antivirus,Software,Norton Antivirus,2023
8002,Operating System Reinstallation,2/1/2023,2/5/2023,120,Completed,Ankara,Ankara,Turkey,Repair,4,Windows 10,Laptop,HP Pavilion,Software,Windows 10,Windows 10 Pro
8003,Antivirus Update,3/5/2023,3/10/2023,80,Completed,Izmir,Izmir,Turkey,Repair,5,McAfee Antivirus,Software,McAfee Antivirus,Software,McAfee Antivirus,2022
8004,Malware Removal,4/1/2023,4/10/2023,150,Completed,Antalya,Antalya,Turkey,Repair,9,AVG Antivirus,Software,AVG Antivirus,Software,AVG Antivirus,2023
8005,Software Configuration,5/1/2023,5/5/2023,90,Completed,Bursa,Bursa,Turkey,Repair,4,Adobe Photoshop,Laptop,Dell Inspiron,Software,Photoshop,Photoshop 2022
8006,Application Update,6/10/2023,6/15/2023,50,Completed,Konya,Konya,Turkey,Repair,5,Slack,Software,Slack,Software,Slack,2023.04
8007,Antivirus Removal,7/1/2023,7/5/2023,60,Completed,Istanbul,Marmara,Turkey,Repair,4,Bitdefender Antivirus,Software,Bitdefender Antivirus,Software,Bitdefender Antivirus,2022
8008,Driver Update,8/15/2023,8/20/2023,70,Completed,Izmir,Izmir,Turkey,Repair,5,NVIDIA,Graphics Card,GTX 1650,Software,NVIDIA Driver,472.12
8009,App Reinstallation,9/1/2023,9/5/2023,110,Completed,Ankara,Ankara,Turkey,Repair,4,Zoom,Laptop,Lenovo ThinkPad,Software,Zoom,Zoom 5.11
8010,Software Upgrade,10/5/2023,10/10/2023,140,Completed,Antalya,Antalya,Turkey,Repair,5,Microsoft Office,Software,Microsoft Office 2021,Software,Microsoft Office,Office 2021
8011,Software Troubleshooting,11/1/2023,11/7/2023,100,Completed,Bursa,Bursa,Turkey,Repair,6,AutoCAD,Laptop,Acer Aspire,Software,AutoCAD,AutoCAD 2023
8012,Software Update,12/1/2023,12/5/2023,85,Completed,Konya,Konya,Turkey,Repair,4,Windows Defender,Software,Windows Defender,Software,Windows Defender,2023
8013,Game Patch Update,1/15/2023,1/20/2023,60,Completed,Istanbul,Marmara,Turkey,Repair,5,League of Legends,Software,League of Legends,Software,League of Legends,2023.01
8014,Operating System Repair,2/10/2023,2/15/2023,120,Completed,Izmir,Izmir,Turkey,Repair,5,macOS,MacBook,Apple MacBook Air,Software,macOS,macOS 13
8015,Data Recovery Software,3/20/2023,3/25/2023,180,Completed,Antalya,Antalya,Turkey,Repair,5,Recuva,Laptop,Asus ROG,Software,Recuva,Recuva 2023
8016,Email Client Setup,4/10/2023,4/15/2023,80,Completed,Bursa,Bursa,Turkey,Repair,5,Outlook,Laptop,Lenovo Yoga,Software,Outlook,Outlook 2023
8017,Server Software Configuration,5/1/2023,5/7/2023,220,Completed,Konya,Konya,Turkey,Repair,6,Linux Server,Server,HP ProLiant,Software,Ubuntu,Ubuntu 20.04
8018,Database Repair,6/5/2023,6/10/2023,200,Completed,Istanbul,Marmara,Turkey,Repair,5,SQL Server,Software,Microsoft SQL Server,Software,SQL Server,SQL Server 2022
8019,Software Compatibility Fix,7/10/2023,7/15/2023,130,Completed,Izmir,Izmir,Turkey,Repair,5,Python,Laptop,Dell XPS,Software,Python,Python 3.10
8020,Desktop Software Installation,8/1/2023,8/5/2023,90,Completed,Ankara,Ankara,Turkey,Repair,4,Google Chrome,Laptop,HP EliteBook,Software,Google Chrome,Chrome 94.0
8021,Web Browser Update,9/1/2023,9/5/2023,70,Completed,Antalya,Antalya,Turkey,Repair,4,Firefox,Laptop,Apple MacBook,Software,Firefox,Firefox 93
8022,Security Software Repair,10/1/2023,10/7/2023,160,Completed,Bursa,Bursa,Turkey,Repair,6,Bitdefender,Software,Bitdefender Total Security,Software,Bitdefender Total Security,2023
8023,Software Licensing Issue,11/1/2023,11/10/2023,50,Completed,Konya,Konya,Turkey,Repair,9,Microsoft Office,Software,Microsoft Office 365,Software,Microsoft Office 365,365.23
8024,Anti-spyware Repair,12/1/2023,12/10/2023,80,Completed,Istanbul,Marmara,Turkey,Repair,9,Spybot Search & Destroy,Software,Spybot 2023,Software,Spybot Search & Destroy,Spybot 2023
8025,Photo Editing Software Repair,1/10/2023,1/15/2023,100,Completed,Izmir,Izmir,Turkey,Repair,5,CorelDRAW,Software,CorelDRAW 2023,Software,CorelDRAW,CorelDRAW 2023
8026,Document Management Software Repair,2/1/2023,2/5/2023,95,Completed,Antalya,Antalya,Turkey,Repair,4,Evernote,Software,Evernote 10.2,Software,Evernote,Evernote 10.2
8027,Video Editing Software Repair,3/15/2023,3/20/2023,150,Completed,Bursa,Bursa,Turkey,Repair,5,Adobe Premiere Pro,Software,Adobe Premiere Pro 2023,Software,Adobe Premiere Pro,Premiere Pro 2023
