HardwareRepairServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,DeviceName,DeviceType,DeviceModel,RepairType
7001,Hard Drive Repair,2023-01-10,2023-01-15,150.00,Completed,Istanbul,Marmara,Turkey,Repair,Seagate Barracuda 1TB,Hard Drive,ST1000DM008,Hardware
7002,Keyboard Replacement,2023-02-05,2023-02-10,50.00,Completed,Ankara,Ankara,Turkey,Repair,Logitech K120,Keyboard,Logitech K120,Hardware
7003,Graphics Card Repair,2023-03-01,2023-03-05,200.00,Completed,Izmir,Izmir,Turkey,Repair,NVIDIA GTX 1660,Graphics Card,NVIDIA GTX 1660,Hardware
7004,Power Supply Repair,2023-04-01,2023-04-10,120.00,Completed,Antalya,Antalya,Turkey,Repair,EVGA 600W,Power Supply,EVGA 600W,Hardware
7005,Laptop Screen Replacement,2023-05-01,2023-05-10,180.00,Completed,Bursa,Bursa,Turkey,Repair,Acer 15.6" IPS,Laptop,ACER-X15-IPS,Hardware
7006,Processor Repair,2023-06-10,2023-06-20,250.00,Completed,Konya,Konya,Turkey,Repair,Intel Core i7-9700K,Processor,Intel i7-9700K,Hardware
7007,Hard Drive Repair,2023-07-01,2023-07-10,140.00,Completed,Istanbul,Marmara,Turkey,Repair,Western Digital Blue 500GB,Hard Drive,WD5000AAKX,Hardware
7008,RAM Replacement,2023-08-05,2023-08-12,100.00,Completed,Izmir,Izmir,Turkey,Repair,Corsair Vengeance 8GB,RAM,Corsair Vengeance LPX,Hardware
7009,Graphics Card Replacement,2023-09-01,2023-09-05,250.00,Completed,Ankara,Ankara,Turkey,Repair,AMD Radeon RX 580,Graphics Card,AMD RX 580,Hardware
7010,CPU Fan Repair,2023-10-01,2023-10-05,75.00,Completed,Antalya,Antalya,Turkey,Repair,Noctua NH-D15,CPU Cooler,Noctua NH-D15,Hardware
7011,Hard Drive Repair,2023-11-01,2023-11-07,130.00,Completed,Bursa,Bursa,Turkey,Repair,Seagate Barracuda 2TB,Hard Drive,ST2000DM008,Hardware
7012,SSD Replacement,2023-12-01,2023-12-05,180.00,Completed,Konya,Konya,Turkey,Repair,Samsung 970 EVO 1TB,SSD,Samsung 970 EVO,Hardware
7013,Monitor Repair,2023-01-15,2023-01-25,220.00,Completed,Istanbul,Marmara,Turkey,Repair,LG 27UK850-W,Monitor,LG 27UK850-W,Hardware
7014,Laptop Motherboard Repair,2023-02-01,2023-02-10,300.00,Completed,Izmir,Izmir,Turkey,Repair,Dell XPS 15,Laptop,Dell XPS 15,Hardware
7015,Hard Drive Repair,2023-03-10,2023-03-20,150.00,Completed,Antalya,Antalya,Turkey,Repair,Toshiba 1TB,Hard Drive,Toshiba DT01ACA100,Hardware
7016,Power Supply Replacement,2023-04-15,2023-04-20,110.00,Completed,Bursa,Bursa,Turkey,Repair,Corsair RM750,Power Supply,Corsair RM750,Hardware
7017,CPU Repair,2023-05-10,2023-05-15,220.00,Completed,Konya,Konya,Turkey,Repair,AMD Ryzen 7 3700X,Processor,AMD Ryzen 7 3700X,Hardware
7018,Graphics Card Repair,2023-06-01,2023-06-10,250.00,Completed,Istanbul,Marmara,Turkey,Repair,MSI GeForce RTX 3060,Graphics Card,MSI RTX 3060,Hardware
7019,Keyboard Repair,2023-07-05,2023-07-15,60.00,Completed,Izmir,Izmir,Turkey,Repair,Logitech G Pro X,Keyboard,Logitech G Pro X,Hardware
7020,Monitor Replacement,2023-08-01,2023-08-10,220.00,Completed,Ankara,Ankara,Turkey,Repair,ASUS TUF Gaming VG27WQ,Monitor,ASUS VG27WQ,Hardware
7021,SSD Repair,2023-09-10,2023-09-15,180.00,Completed,Antalya,Antalya,Turkey,Repair,Kingston A2000 1TB,SSD,Kingston A2000,Hardware
7022,Laptop Battery Replacement,2023-10-05,2023-10-15,80.00,Completed,Bursa,Bursa,Turkey,Repair,HP Envy 13,Laptop,HP Envy 13,Hardware
7023,Hard Drive Repair,2023-11-01,2023-11-10,140.00,Completed,Konya,Konya,Turkey,Repair,Western Digital Black 500GB,Hard Drive,WD5000BPKX,Hardware
7024,SSD Repair,2023-12-10,2023-12-20,170.00,Completed,Istanbul,Marmara,Turkey,Repair,Crucial P5 1TB,SSD,Crucial P5,Hardware
7025,Laptop Motherboard Repair,2023-01-20,2023-01-30,280.00,Completed,Izmir,Izmir,Turkey,Repair,Acer Aspire 5,Laptop,Acer Aspire 5,Hardware
7026,Graphics Card Repair,2023-02-15,2023-02-25,250.00,Completed,Antalya,Antalya,Turkey,Repair,EVGA RTX 3070,Graphics Card,EVGA RTX 3070,Hardware
7027,CPU Cooling Fan Repair,2023-03-05,2023-03-15,95.00,Completed,Bursa,Bursa,Turkey,Repair,Noctua NH-U12S,CPU Cooler,Noctua NH-U12S,Hardware
7028,SSD Replacement,2023-04-01,2023-04-10,180.00,Completed,Konya,Konya,Turkey,Repair,Samsung 860 EVO 500GB,SSD,Samsung 860 EVO,Hardware
7029,Laptop Display Replacement,2023-05-15,2023-05-25,200.00,Completed,Istanbul,Marmara,Turkey,Repair,MacBook Pro 13",Laptop,MacBook Pro 13,Hardware
7030,Hard Drive Repair,2023-06-05,2023-06-15,150.00,Completed,Izmir,Izmir,Turkey,Repair,Hitachi Deskstar 1TB,Hard Drive,Hitachi Deskstar,Hardware
