ServiceID,Name,StartDate,EndDate,Price,Status,City,State,Country,ServiceType,Duration
1032,AI Solutions,8/10/2023,8/24/2023,6000,Completed,Ankara,Ankara,Turkey,AI,14
1038,AI Development Services,2/15/2023,2/28/2023,5500,Active,Ankara,Ankara,Turkey,AI,13
1051,AI Integration Services,3/5/2023,3/18/2023,5500,Completed,Istanbul,Marmara,Turkey,AI,13
1058,AI Research and Development,10/1/2023,10/12/2023,6000,Completed,Izmir,Izmir,Turkey,AI,11
1077,AI Development Solutions,5/1/2023,5/15/2023,6000,Completed,Izmir,Izmir,Turkey,AI,14
1085,Data Science Development,1/10/2023,1/20/2023,5000,Completed,Ankara,Ankara,Turkey,AI,10
1094,AI-Driven Solutions,10/1/2023,10/13/2023,5000,Active,Istanbul,Marmara,Turkey,AI,12
1099,AI Solutions Integration,3/1/2023,3/13/2023,5000,Completed,Ankara,Ankara,Turkey,AI,12
1113,AI-Based Analytics Services,5/1/2023,5/13/2023,6000,Completed,Istanbul,Marmara,Turkey,AI,12
1122,AI Integration Services,2/1/2023,2/13/2023,5000,Completed,Istanbul,Marmara,Turkey,AI,12
1126,Data Analytics,6/1/2023,6/13/2023,4000,Completed,Izmir,Izmir,Turkey,AI,12
1130,AI-Powered Solutions,10/1/2023,10/13/2023,6000,Completed,Ankara,Ankara,Turkey,AI,12
1138,Smart Automation Solutions,6/1/2023,6/13/2023,6000,Completed,Izmir,Izmir,Turkey,AI,12
1141,AI-Based Solutions,9/1/2023,9/13/2023,5000,Completed,Izmir,Izmir,Turkey,AI,12
1148,AI and Machine Learning,4/1/2023,4/13/2023,5000,Completed,Ankara,Ankara,Turkey,AI,12
1025,Data Science Solutions,1/25/2023,2/8/2023,3500,Active,Ankara,Ankara,Turkey,Analytics,14
1033,Data Analytics Services,9/1/2023,9/15/2023,5000,Active,Istanbul,Marmara,Turkey,Analytics,14
1055,Blockchain Solutions,7/1/2023,7/15/2023,5000,Completed,Ankara,Ankara,Turkey,Blockchain,14
