RepairServiceID,DeviceName,DeviceType,DeviceModel,Hardware,Software
4001,iPhone,Smartphone,iPhone 12,Hardware,null
4002,MacBook,Laptop,MacBook Air,Hardware,null
4003,Lenovo,Laptop,ThinkPad X1,null,Software
4004,Galaxy,Smartphone,Samsung Galaxy S20,Hardware,null
4005,HP,Laptop,HP Pavilion,Hardware,null
4006,Galaxy,Tablet,Samsung Tab S7,Hardware,null
4007,MacBook,Laptop,MacBook Pro 13,Hardware,null
4008,Nokia,Smartphone,Nokia 8,null,Software
4009,Dell,Laptop,Dell XPS 13,null,Software
4010,HP,Laptop,HP Envy,Hardware,null
4011,Apple Watch,Smartwatch,Apple Watch Series 6,Hardware,null
4012,Xiaomi,Smartphone,Xiaomi Mi 11,Hardware,null
4013,Asus,Laptop,Asus ROG,null,Software
4014,Acer,Laptop,Acer Aspire,Hardware,null
4015,Lenovo,Tablet,Lenovo Tab M10,Hardware,null
4016,iPhone,Smartphone,iPhone 11 Pro,Hardware,null
4017,Lenovo,PC,Lenovo Desktop,Hardware,null
4018,OnePlus,Smartphone,OnePlus 8,Hardware,null
4019,MacBook,Laptop,MacBook Pro 15,Hardware,null
4020,Samsung,Tablet,Samsung Tab S5,null,Software
4021,Sony,Smartphone,Sony Xperia Z5,null,Software
4022,LG,Smartphone,LG G6,Hardware,null
4023,HP,Laptop,HP EliteBook,null,Software
4024,Dell,PC,Dell Inspiron,Hardware,null
4025,Huawei,Smartphone,Huawei P30,Hardware,null
4026,Asus,Laptop,Asus VivoBook,Hardware,null
4027,Samsung,Smartphone,Samsung Galaxy A50,null,Software
4028,HP,PC,HP Desktop,null,Software
4029,Amazon,Tablet,Amazon Fire HD 10,Hardware,null
4030,Google Pixel,Smartphone,Pixel 4,null,Software
4031,MSI,Laptop,MSI GE75,Hardware,null
4032,Asus,PC,Asus Tower,null,Software
4033,Motorola,Smartphone,Motorola Edge,Hardware,null
4034,Samsung,Tablet,Samsung Tab A7,Hardware,null
4035,Acer,PC,Acer Desktop,Hardware,null
4036,Nokia,Smartphone,Nokia 6,Hardware,null
4037,Toshiba,Laptop,Toshiba Satellite,Hardware,null
4038,Apple,Tablet,iPad Mini,Hardware,null
4039,Sony,Smartphone,Sony Xperia XZ,Hardware,null
4040,Lenovo,PC,Lenovo ThinkCentre,Hardware,null
8001,Norton Antivirus,Software,Norton Antivirus,null,Software
8002,Windows 10,Laptop,HP Pavilion,null,Software
